순위,규칙,매칭값,카테고리,신뢰도,사용,메모
0,강제 지정 URL,https://example.com/drug,마약,1,O,이 URL은 무조건 마약
0,강제 지정 URL,https://taehaschool.com,학폭,1,O,이 URL은 무조건 학폭
1,캠페인 유형,Naver SA,검색광고,0.8,O,검색광고 매체
2,그룹명,형사,형사,0.9,O,광고그룹명에 형사 포함
2,그룹명,이혼,이혼,0.9,O,광고그룹명에 이혼 포함
3,키워드명,마약,마약,0.9,O,키워드명에 마약 포함
4,캠페인명,브랜드,브랜드,0.85,O,캠페인명에 브랜드 포함
5,일반 URL,/criminal,형사,0.65,O,URL 보조 규칙
5,일반 URL,taehaschool.com,학폭,0.65,O,taehaschool 도메인은 학폭
2,그룹명,강간,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,성범죄,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,추행,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,희롱,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,성폭,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,미성년자약취,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,성매매,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,아청,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,카촬,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,음란,성범죄,0.9,O,성범죄 키워드는 성범죄
2,그룹명,성전문,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,강간,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,성범죄,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,추행,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,희롱,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,성폭,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,미성년자약취,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,성매매,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,아청,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,카촬,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,음란,성범죄,0.9,O,성범죄 키워드는 성범죄
3,키워드명,성전문,성범죄,0.9,O,성범죄 키워드는 성범죄
4,캠페인명,강간,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,성범죄,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,추행,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,희롱,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,성폭,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,미성년자약취,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,성매매,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,아청,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,카촬,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,음란,성범죄,0.85,O,성범죄 키워드는 성범죄
4,캠페인명,성전문,성범죄,0.85,O,성범죄 키워드는 성범죄
2,그룹명,교통,교통/음주,0.9,O,캠페인 및 그룹에 교통 포함
2,그룹명,음주,교통/음주,0.9,O,캠페인 및 그룹에 음주 포함
4,캠페인명,교통,교통/음주,0.85,O,캠페인 및 그룹에 교통 포함
4,캠페인명,음주,교통/음주,0.85,O,캠페인 및 그룹에 음주 포함
2,그룹명,재산,재산범죄,0.9,O,캠페인 및 그룹에 재산 포함
2,그룹명,경제,재산범죄,0.9,O,캠페인 및 그룹에 경제 포함
4,캠페인명,재산,재산범죄,0.85,O,캠페인 및 그룹에 재산 포함
4,캠페인명,경제,재산범죄,0.85,O,캠페인 및 그룹에 경제 포함
